Datum,Feiertag
2013-01-01,1
2013-03-29,1
2013-04-01,1
2013-05-01,1
2013-05-09,1
2013-05-20,1
2013-10-03,1
2013-12-25,1
2013-12-26,1
2014-01-01,1
2014-04-18,1
2014-04-21,1
2014-05-01,1
2014-05-29,1
2014-06-09,1
2014-10-03,1
2014-12-25,1
2014-12-26,1
2015-01-01,1
2015-04-03,1
2015-04-06,1
2015-05-01,1
2015-05-14,1
2015-05-25,1
2015-10-03,1
2015-12-25,1
2015-12-26,1
2016-01-01,1
2016-03-25,1
2016-03-28,1
2016-05-01,1
2016-05-05,1
2016-05-16,1
2016-10-03,1
2016-12-25,1
2016-12-26,1
2017-01-01,1
2017-04-14,1
2017-04-17,1
2017-05-01,1
2017-05-25,1
2017-06-05,1
2017-10-03,1
2017-10-31,1
2017-12-25,1
2017-12-26,1
